(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Remuneration to KMP _x000D_,Relationship _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
- Nikita Shah _x000D_,CFO _x000D_, 6.23 _x000D_, 4.02 _x000D_
- Priyanka Shah _x000D_,Company Secretary _x000D_, 2.40 _x000D_, 1.27 _x000D_
Services Availed _x000D_,,,
- Aimtron Technologies Private Limited _x000D_,Company with same management _x000D_, 404.99 _x000D_,-   _x000D_
Directors sitting fees _x000D_,,,
- Prerna Bokil _x000D_,Director _x000D_, 0.60 _x000D_,-   _x000D_
- Nischal Sanghvi _x000D_,Director _x000D_, 0.45 _x000D_,-   _x000D_
Share Capital _x000D_,,,
- Aimtron Electronics LLC _x000D_,Wholly Owned Subsidiary Company _x000D_, 518.26 _x000D_,-   _x000D_
